"","V1","b","p"
"15","binoculars",56.0011709428267,0.251201764175786
"124","pyramid",55.9978550745934,0.251315296975944
"167","volcano",55.8869329835667,0.25513279059995
"1","ambulance",55.1923972340125,0.279888188597074
"54","dinosaur",55.1542534331955,0.281289524489628
"39","cheerleaders",54.1821076219249,0.318398032563808
"155","thermometer",53.9995496361509,0.325651766743134
"62","eskimo",53.9658343855611,0.327000726361333
"141","slippers",53.7497107701253,0.335715296236803
"110","octopus",53.6771224159445,0.338667871635687
"51","crutches",53.5773015579128,0.342748707303992
"122","plant",53.2859901051867,0.354789904064802
"107","necklace",53.0103139209704,0.366357070316939
"37","celery",52.7922894898908,0.375616359208173
"164","van",52.7068122562727,0.379271888489871
"74","garage",52.6552008552774,0.38148579201107
"129","ruler",52.6153270385072,0.383199587589853
"83","harp",52.4394192109755,0.390794382496566
"140","skull",52.332770920647,0.395425068953363
"40","chimney",52.1312050075588,0.404227917385362
